Tanggal,USN,Komen
13/3/2026,UnderPaidMD,"Hippocrates prnh blng, seorang dokter hrs mendapat jasa medis agar masyarakat dpt menghargai kesehatan. Mungkin saatnya BPJS PBI dihapus dan premi per bulan dinaikkan agar hal bodoh sprti antivaks dan rokok bisa berkurang. Duit klaim dari anda kecil bro"
14/3/2026,bungakertas71,"Mandiri kak, aku bukan kerja dikantor, dulu kerja gak ada benefit bpjs, jadi murni yang bayar sendiri, dulu sempet PBI karena aku dki kan langsung dpt, tapi aku pindah domisili ganti ke yang berbayar"
14/3/2026,PackHendri,Ngomongin data. Data penerima BPJS PBI aja salah
14/3/2026,fauz13,"Ya bikin Dewe, minta SKTM kan bisa BPJS PBI"
14/3/2026,cityguide911fm,"“Yang memprihatinkan adalah di Desil 9 dan 10, yakni kelompok masyarakat paling mampu atau 'juragan-juragan'. Ada sekitar 17.000 jiwa yang iurannya masih dibayar oleh pemerintah daerah. Ini sangat kontras dengan data BPS..."
15/3/2026,oxfara,"Aku punya pengalaman yg berbeda dgn ini, bbrp taun lalu sempat anter ART berobat di RS beda domisili dari kartu BPJS nya. Alhamdulillah waktu itu tetap dilayani bahkan sampai operasi pun, tidak ada hambatan. Status penerima manfaat BPJS PBI yang dari daerah."
15/3/2026,FEBRIANADK,Maaf... Pbi atau mandiri? Maaf yaaa.. setauku sih bpjs boleh dimana aja kok... Bpjsku jg luar propinsi... Tp krn kerjaan ya aku periksanya ke domisiliku banyak berada. Tapi kl pbi kan tanggungan pemda yaa.. mgkn krn alasan itukah? 
15/3/2026,solitudeslut,"just info kalo kalian bergantung sama bpjs dan merantau, sblm terjadi hal yang tidak diinginkan, segeralah urus faskes bpjs terkini. ataupun udh ga sanggup bayar bpjs, segera urus2 dokumen untuk menjadi bpjs PBI. bkn mendoakan hal yg buruk, tp antisipasi hal yg tidak diinginkan."
15/3/2026,Anakayamlucu1,"Tetap tergantung dokternya kak, aku saat itu lahiran SC pake BPJS PBI.  RS nggak bisa milih, sudah ditentukan sistem. Dan Alhamdulillah dpt RS yg dokternya kompeten banget. Jahitanku kayak dipict sender. cuma benang yg kelihatan di 1 sisi aja. itu pun secuil kuku."
15/3/2026,"cpygcnd","Keknya ini mreka biar cepet alias males ngecek2, smua dikirimin email, yg keberatan tinggal di uncheck. Sama kayk blokir rekening, smua diblokir aja dl. Sama kayk blokir rekening, smua diblokir aja dl. Gitu terus.. emang masyarakat gak boleh cepet2 emosi 😂🤣"
15/3/2026,Joko2boy,"Ini biasanya bpjs pbi yang di bayar pemerintah daerah, beda2 peraturan di setiap daerahnya di daerah kampar riau ada yang namanya uhc bpjs bisa di pakai walaupun belum di buat namun harus segera di urus 3x24 jam. Namun untuk ngurus bpjs harus ada yang namanya karyu keluarga"
