Tanggal,USN,Komen
01/04/2026,@gajitaknaiknaik,"Bayar BPJS aja berat, apalagi kalau bayar berobat saat sakit. Tolong sebisa mungkin berusahalah untuk bisa dibayar BPJS nya, karna hari sial gak ada di kalender. Jangan saat ada keluarga sakit dan butuh BPJS, baru bingung gimana biaya berobatnya."
01/04/2026,@RoyLaini12,"ganti kelas 3. bayaran ga mencekik lebih murah daripada rokok legal. mau dijelekin gimanapun, BPJS membantu banget bagi keluarga saya yg ga mampu pakai asuransi swasta atau bayar secara umum."
01/04/2026,@mencobavalid,"coba kalau keberatan datang ke BPJS terdekat nder, bilang keluh kesahnya seperti apa, daripada nanti pas dipakai diitung nunggak terus"
09/04/2026,@hadeshateares,"fyi BPJS Kes sm TK ada porsi karyawan sama perusahaan masing-masing… dan dr data ini pun udh ketauan gaji km berapa tp kalo casenya gini run der cari kerjaan baru kecuali km memang butuh duitnya, aku cuman bisa bilang yg sabar dan kuat ya😭🙏"
09/04/2026,@paleeisme,"tanggal2 e melakukan adegan dewasa (bayar wifi, bpjs, pdam, pgn)"
09/04/2026,@_100801,"sinting anjir perusahaannya, bpjs full potong gaji"
09/04/2026,@valliisaa,"Mau km pejabat atau orang berkepentingan di daerah itu, kalo ga masuk kriteria gawat darurat dan ga sesuai ketentuan BPJS, ya mohon maaf harus mengikuti aturan yg ada. Jangan marah marah nyalahin dokter sama perawatnya dikira ga becus nangani pasien."
09/04/2026,@toamajid,"lagian udah setahun lebih, tahun ini udah ngelewati lebaran alias THR udah cair kenapa ngga resign aja coba? saldo BPJS udah lebih dari 5 juta palingan. resign aja ndut"
09/04/2026,@itsbyu_fajar,Pengajuan klaim bpjs ketenagakerjaan dalam proses. Video call sudah terjadwal. Tapi sudah lewat dari jadwal belum ada video call juga? Gmn?
09/04/2026,@valliisaa,"Kadang jg pasien diberi edukasi kalo kondisinya emang harus ke faskes 1 dulu tetep ngotot minta ditangani di IGD dengan BPJS, kalo ga bisa pake bpjs komplain marah marah. Padahal BPJS jg ada aturannya. "
09/04/2026,@NakesPuskesmas,"Obatnya bener gratis kak meskipun tanpa BPJS, tp pemeriksaan penunjangnya gak semua gratis kak klau gak punya BPJS"
09/04/2026,@apralzolam ,Jadi samsak pasien bpjs🙏🏻. Orang bpjsnya mah kabur xixixi
09/04/2026,@TabatiereMaddok,"Penyebab jaspel telat ya karena gagal klaim BPJS, hak nakes dipake buat nalangin operasional. Kalo kayak gini kok ada yang bilang ""dokter enggak manusiawi"". Sampluk lambene mbik ngomong CANGKEMU KOBONG. Wis ditulungi, dibayari, kok isih ngunek nguneke. 😤"
09/04/2026,@controversweet,Perokok gak layak dapat layanan BPJS.
