Date,Username,Comment
12/13/2025,DedyKurnia48911,@prabowo tolong dikaji ulang pemutihan tunggakan BPJS Kshtn. Jgn hy yg sdh bralih dr mandiri ke PBI sj yg bs ikut kmi yg MANDIRI byk tunggakan (krtu tdk aktif) spy bs ikut pemutihan. Jgn beda2kan msyrakat. Sm spt pmtihan pjk kendraan smua org bs ikut hrsx bpjs tdk beda2kan kaya &amp; miskin
12/13/2025,DedyKurnia48911,@cakimiNOW Pak muhaimin tolong dikaji ulang ttg pemutihan tunggakan BPJS Kshtn. Jgn hy yg sdh bralih dr mandiri ke PBI sj yg bs ikut kmi yg MANDIRI byk tunggakan (krtu tdk aktif) spy bs ikut pemutihan. Jgn beda2kan msyrakat. Sm spt pmtihan pjk kndraan smua org bs ikut hrsx bpjs jg spt itu
12/15/2025,AdhiEndrawan,"@hndrtn_ @merapi_uncover BPJS sekali didaftarkan selamanya berjalan. Hanya bisa dihentikan permanen jika nama tertanggung meninggal dunia. Berhenti sementara jika menunggak lebih dr 1 bln, melapor tinggal diluar negeri, dikeluarkan dari status PBI"
12/15/2025,yourfavners,"Definisi miskin belagu! Pasien bpjs pbi gak mau sekamar sama banyak orang, gak mau kelas 3, maunya yg VIP, giliran dijelasin biaya umumnya langsung diem dan malah komplain “Pelayanan kalian lama mentang-mentang pake BPJS”."
12/16/2025,PemKabTangerang,"Program ini menyasar langsung masyarakat melalui bantuan sembako, tabur benih ikan, reaktivasi PBI BPJS Kesehatan, hingga dukungan pendidikan dan sosial sebagai upaya terpadu menekan kemiskinan, pengangguran, dan memperkuat ketahanan pangan."
12/16/2025,suhendrosl,"@BPJSKesehatanRI istri dan anak pertama saya penerima PBI tapi anak kedua tidak menerima PBI, gimana cara urus anak kedua bisa di tanggung bpjs mandiri?"
12/17/2025,mosuyouv,"@jogja_base jd bpjs non pbi nder alias iuran mandiri, kl mau balik bpjs pbi (pemerintah) harus ngurus ulang berkas2nya ke dinsos. cmiiw"
12/17/2025,DanangDarmawan,"@jogja_base kalau UMR rendah minim ada transportasi umum yang murah dan merata. Akses komoditas bulog yang memang murah. rusunawa , bpjs pbi,"
12/17/2025,jendeuqi,@beibijeiji @tanyakanrl Bpjs pbi kak?
12/17/2025,RakyatJatengs,"@tanyakanrl Sekarang ada teknologi namanya BPJS, meskipun banyak yang bilang pakai BPJS banyak pengalaman negatif. Alhamdulillah aku nggak pernah menemui. Daerah masing"" lah pelayanannya. Kalo nggak mau bayar iuran urus SKTM ke Kelurahan biar bisa PBI"
12/18/2025,qqtzuu,"aku dlu pernah sakit batuk sampai mau meninggal, tp dipaksain ga ke klinik padahal aku bayar bpjs kelas 1, sedangkan temen ku pakai pbi gratis tis tis sakit sedikit aja ke klinik kampus, sesampah itu kah aku, serendah itu kah aku sampai merasa ga layak mendapatkan hal hal normal"
12/18/2025,sbyfess,"dan klo misal bpjs kesehatan yg dari pt ga ikut, jd cma ikut bpjs ketenagakerjaan, gmn ya rek? kasih saran dong -rek ak gmau bpjs pbi ku dicabut😭 https://t.co/MWzhHEktHY"
12/18/2025,asssappy,"@jogja_base harus ngurus dari awal ke dinsos dan instansi setempat kak setauku, karna bpjs pbi itu ada kuota2 nya"
12/18/2025,ultramenn__,"@jogja_base Kalo udah keluar dr bpjs PBI dan umur sudah diatas berapa gitu(udh bpjs mandiri) jadi misal keluar dr bpjs pbi gak bisa masuk lagi, jadi misalnya dari pt nawarin bpjs kesehtan mendingan gak usah kalo di PTku dulu karna ak yg handle jadi gak ak masukin cuma bpjs tk aja"
12/18/2025,pityofme,@jogja_base semuur idup bapaku juga gapunya bpjs dan gaperna ngurus kmrn 2025 aku cek di bpjsku klik nik bapaku trnyat ditanggung PBI juga padahal udah siap siap duit kala itu krn tampa bpjs sendiri pihak desa jg gada yg daftarin trnyata tbtb masuk PBI
12/18/2025,pityofme,@jogja_base ternyata udah masuk PBI jadi ga daftar meskipun gajinya banyak dulunya trus stop tetep bisa masuk PBI  krn sekeluarganya Pbi itu bisa di cek mandiri saat nanti usai kontrak selesai/resign via yang pake lacak WA status bpjs deh dulu aku mkirnya juga bayar mandiri trnytaPBI otmts
12/18/2025,pityofme,"@jogja_base nder semoga membantu aku mau berbagi pengalamanku : 2018 aku BPJS ditanggung kantor kerja bumn, 2018-2022 kuliah ga diurus, trnyata saat di cek ditanggung PBI, 2022-2025 kerja ditanggung kantor, rekanku : 2019-2023 kerja di tanggung kantor, 2023-2025 ga diurus, 2025 kemarin ngecek~"
12/19/2025,oikawatekdus,"@sbyfess coba diganti rujukan rs e atau pindah faskes nder. bpjs soale ngunu, nek ga ketokan darurat temenan gak ndang ditompo, soale ak sendiri pake pbi pas temenan darurat jd ketompo temenan dirujuk nak rs suwandi opname 3mgg jg. atau bs jd sakit yg dimaksud gak termasuk di layanan bpjs"
12/19/2025,febiads,@sbyfess Sakitnya apa dulu nder? Alhamdulillah almh. ibuku dulu ditangani meskipun pake bpjs pbi. Ibuku sakit jantung.
12/20/2025,atsara_nia,"@DedeAgs3006 @Piyusaja2 Duh polosnya itu otak 🤣 emang semua itu gratis? TIDAK. BPJS bayar, even yg PBI itu urunan jg dari dana yang bayar. Masuk tol gratis? BAYAR. Pake fasilitas bandara, terminal, stasiun? BAYAR JUGA 🤣 semua itu udah ada, bahkan dari jaman Pak SBY gaiis"
12/22/2025,minjii_24,@BPJSKesehatanRI kalau nanti mau beralih ke BPJS PBI apakah masih bisa??
12/22/2025,minjii_24,"BPJS pbi saya nonaktif dari bulan juni, kalo mau aktifkan kembali ke BPJS Mandiri apakah ada tagihan yang harus dibayarkan terlebih dahulu? @BPJSKesehatanRI"
12/22/2025,baihaqiiw,"Gimana ceritanya pasien ga punya BPJS. Baru ngurus UHC PBI. Sampe ruangan marah2 minta kamar sendiri. Udah BPJS ga pernah bayar, baru ngurus UHC tapi minta kelas 1 atau VIP hadeh"
12/25/2025,BPJSKesehatanRI,@Dinarra93 Salam Sehat Sahabat. Mengenai pembaruan KK atau penggabungan susunan anggota keluarga peserta PBPU dan BP PEMDA/PBI JK silakan melalui Kantor Cabang BPJS Kesehatan sesuai domisili KTP. Terima kasih. :) -ami
12/25/2025,BPJSKesehatanRI,@Dinarra93 Salam Sehat Sahabat. Benar Sahabat. Jika terdaftar peserta PBPU dan BP PEMDA/PBI JK silakan melakukan pembaruan KK atau penggabungan susunan anggota keluarga melalui Kantor Cabang BPJS Kesehatan sesuai domisili KTP. Terima kasih. :) -ayas
12/25/2025,BPJSKesehatanRI,"@Dinarra93 Salam Sehat Sahabat. Mohon maaf, tidak bisa online ya Sahabat. Jika terdaftar peserta PBPU dan BP PEMDA/PBI JK silakan melakukan pembaruan KK atau penggabungan susunan anggota keluarga melalui Kantor Cabang BPJS Kesehatan sesuai domisili KTP. Terima kasih. :) -ami"
12/25/2025,Dinarra93,"@BPJSKesehatanRI izin bertanya, bulek sy suami istri bpjs PBI, mobile jkn nya terpisah, apakah bisa dijadikan 1? Krn satu kk. Dan beliau org tua kl terpisah susah. telp call center 165 katanya suruh ke dinsos, apakah tidak ada cara online nya?Mohon pencerahannya terima kasih"
12/26/2025,blackB_red,"@BPJSKesehatanRI halo, kak. Mau tanya kalo aktifkan kembali BPJS PBI itu bagaimana ya? Kalo kata di Puskesmas dan RS (di IGD) katanya harus darurat dulu. Maksud darurat itu seperti apa ya kak?"
